Car pool - car_pool Not In 2-98

Trip 2011
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
        7021        7020         24
        7021        7024         56
        7021        7025         41
        7021        7026         10
        7021        7028         15
        7021        7029         89
        7021        7031         18
        7021        7032         17
        7021        7034         27
        7021        7035         26
        7021        7038         13
        7021        7041         10
        7021        7042         41
        7021        7049         16
        7021        7050         38
        7021        7055         15
        7021        7056         21
        7021        7057         24
        7021        7059         13
        7021        7066         16
        7021        7094         41
        7021        7099         10
        7021        7100         13
        7021        7104         18
        7021        7105         48
        7021        7106         38
        7021        7107         18
        7021        7108         50
        7021        7110         10
        7021        7111         13
        7021        7112         13
        7021        7133         16
        7021        7134         24
        7021        7136         16
        7021        7138         29
        7021        7141         39
        7021        7146         19
        7021        7248         75
        7021        7255         10
        7021        7256         30
        7021        7258          9
        7021        7259         35
        7021        7260         17
        7021        7277         17
        7021        7464         12
        7021        7572         69
        7022        7008         72
        7022        7013         13
        7022        7014         16
        7022        7026         43
        7022        7042         27
        7022        7050         27
        7022        7052         21
        7022        7057         18
        7022        7101         18
        7022        7104         18
        7022        7105         18
        7022        7106         13
        7022        7111         13
        7022        7113          9
        7022        7117         18
        7022        7137         18
        7022        7155         13
        7022        7259         18
        7023        7002         42
        7023        7004         21
        7023        7008         10
        7023        7011         21
        7023        7024         13
        7023        7039         10
        7023        7050         27
        7023        7109         18
        7023        7110          9
        7023        7111         13
        7023        7113         16
        7023        7117         19
        7023        7123         17
        7023        7125         20
        7023        7146         22
        7023        7256         10
        7024        7001         52
        7024        7002         75
        7024        7003         14
        7024        7004         10
        7024        7005         56
        7024        7006         36
        7024        7008         60
        7024        7009         21
        7024        7010         17
        7024        7011         54
        7024        7013        128
        7024        7014         21
        7024        7015         28
        7024        7016         32
        7024        7017         45
        7024        7019         36
        7024        7021         16
        7024        7023         14
        7024        7031         65
        7024        7039         20
        7024        7041         21
        7024        7042         36
        7024        7048         16
        7024        7049         45
        7024        7051         48
        7024        7052         12
        7024        7053         12
        7024        7054         13
        7024        7055         16
        7024        7056        157
        7024        7059         12
        7024        7083         16
        7024        7092         12
        7024        7094         12
        7024        7097         12
        7024        7098         59
        7024        7100         13
        7024        7101         28
        7024        7105         14
        7024        7110         16
        7024        7111         16
        7024        7112         63
        7024        7117         23
        7024        7123         12
        7024        7126         31
        7024        7141         46
        7024        7143         16
        7024        7144         16
        7024        7149         14
        7024        7257         24
        7024        7261         39
        7025        7002         61
        7025        7003         15
        7025        7004         15
        7025        7006         20
        7025        7008         21
        7025        7009         66
        7025        7013         10
        7025        7014         32
        7025        7015         43
        7025        7016         15
        7025        7020         82
        7025        7021         66
        7025        7022         12
        7025        7026        232
        7025        7028        110
        7025        7029         44
        7025        7031         47
        7025        7034         59
        7025        7035         69
        7025        7036         27
        7025        7037         21
        7025        7038         45
        7025        7039        116
        7025        7042        105
        7025        7046         28
        7025        7049         64
        7025        7050         51
        7025        7056         60
        7025        7101         32
        7025        7105         47
        7025        7106         21
        7025        7108         41
        7025        7109         12
        7025        7111         12
        7025        7242         16
        7025        7244         19
        7025        7247         33
        7025        7255         13
        7025        7257         17
        7025        7458        103
        7025        7544         11
        7025        7572         43
        7026        7001         47
        7026        7003         21
        7026        7005         15
        7026        7007         31
        7026        7008         15
        7026        7009         46
        7026        7012         25
        7026        7013        149
        7026        7015         12
        7026        7016         21
        7026        7017         77
        7026        7019         67
        7026        7020         55
        7026        7022         31
        7026        7025        244
        7026        7029         13
        7026        7031         36
        7026        7035         30
        7026        7036         37
        7026        7037         13
        7026        7039         19
        7026        7042         52
        7026        7044         15
        7026        7048         33
        7026        7049        160
        7026        7050        234
        7026        7053         48
        7026        7100         32
        7026        7101         15
        7026        7105         14
        7026        7109         15
        7026        7246         97
        7026        7247         21
        7026        7255         22
        7026        7257         36
        7026        7261         19
        7026        7458         72
        7026        7572         28
        7027        7031         22
        7027        7253         22
        7027        7464         19
        7028        7007         21
        7028        7008         36
        7028        7009         41
        7028        7011         15
        7028        7013         36
        7028        7017         73
        7028        7019         36
        7028        7020         36
        7028        7021         56
        7028        7025         94
        7028        7027         32
        7028        7029         37
        7028        7031         36
        7028        7033         36
        7028        7034         15
        7028        7035         36
        7028        7039        118
